desiredSpeed,friction,speed,waitingTime,emergencyBraking,collisions
13.88888888888889,1.0,12.56,0.7871602082128398,10,28
13.88888888888889,0.917065596651538,12.6,0.6517241379310345,15,36
13.88888888888889,0.9457875471061294,12.41,1.036076662908681,15,32
13.88888888888889,1.0,12.33,0.8562055768179333,11,31
13.88888888888889,0.9844636056525758,12.5,0.8805405405405405,9,42
13.88888888888889,1.0,12.6,0.8034037558685446,8,31
13.88888888888889,1.0,12.56,0.8308988764044943,15,37
13.88888888888889,0.9066639425793876,12.48,0.7232739420935412,19,31
13.88888888888889,1.0,12.62,0.665886483323581,12,27
13.88888888888889,0.9580210022709008,12.51,0.7885586090858104,11,33
13.88888888888889,1.0,12.4,0.765509391007399,4,22
13.88888888888889,0.9761113660248032,12.29,1.1342134213421342,14,26
13.88888888888889,0.3293862909125499,7.56,6.229166666666667,364,49
